client_id;project_ids;project_name;service_type;term_months;flight_no;flight_start;flight_end;last_active_month;status;status_original;flag;comment;report_generated_at
301;301;Аврора Клиник;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;пролонгировано;OK;;2026-09-01
301;301;Аврора Клиник;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;непролонгировано;OK;;2026-09-01
302;302;БетаСтрой;Крауд-маркетинг;6;1;2024-02-01;2024-07-01;2024-07-01;непролонгировано;непролонгировано;OK;;2026-09-01
303;303;Эверест Тур;Управление репутацией;6;1;2024-03-01;2024-08-01;2024-06-01;отвал;отвал;OK;Метка СТОП в works.csv за июль 2024 (сумма 0). Флайт прерван за 2 мес. до планового конца. Строка была верна в исходном отчёте.;2026-09-01
304;304;Нова Медиа;Разовый аудит;1;1;2024-05-01;2024-05-01;2024-05-01;завершился (разовые работы);завершился (разовые работы);OK;Разовый проект, одна отгрузка. Строка верна.;2026-09-01
311;310|311;Гамма Ритейл Про;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;пролонгировано;OK;Переименование 310->311 (2024-07-01) без пересечения отгрузок. Строка верна.;2026-09-01
311;310|311;Гамма Ритейл Про;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;непролонгировано;OK;;2026-09-01
321;320|321;Дельта Реклама;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;пролонгировано;СПОРНО;project_id 320 и 321 оба выставляли счета одновременно апрель-июнь 2024, хотя дата переименования в projects_history — 2024-04-01. Похоже на задвоение выручки за 3 месяца (или параллельный биллинг по старому и новому коду). На статус флайта не влияет, но искажает суммы, если считать выручку по works.csv напрямую. Вопрос заказчику: подтвердить, что 320/321 — один и тот же клиент/услуга, и как учитывать пересекающиеся месяцы.;2026-09-01
321;320|321;Дельта Реклама;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;отвал;непролонгировано;ИЗМЕНЕНО;last_active_month(2024-09-01) < flight_end(2024-12-01) — флайт прерван за 3 мес. до планового конца, а не завершён полностью. В works.csv для этого обрыва нет строки-метки (стоп/end) — отгрузки просто прекращаются. По аналогии с клиентами 303 и 340, где last_active<flight_end трактуется как отвал, статус исправлен с 'непролонгировано' на 'отвал'. Открытый вопрос: почему для этого обрыва не проставлена метка в биллинге — не потеряна ли строка данных.;2026-09-01
330;330;Кварц Медиа;Крауд-маркетинг;6;1;2024-01-01;2024-06-01;2024-06-01;непролонгировано;пролонгировано;ИЗМЕНЕНО;service_changes.csv: услуга 330 сменилась Крауд-маркетинг -> Мониторинг СМИ с 2024-07-01. Значит январь-июнь 2024 обслуживался по Крауд-маркетинг (флайт=6 мес.), а не по текущему (актуальному на сегодня) Мониторинг СМИ/12 мес., как ошибочно указано в исходном отчёте — там ко всей истории проекта применён последний известный service_type/term_months вместо действовавшего в момент флайта. Флайт январь-июнь завершился точно по сроку, но продления по Крауд-маркетинг не было: июль-октябрь 2024 — 4 месяца вообще без отгрузок. Статус исправлен на 'непролонгировано'. Открытый вопрос: 4-месячная пауза — это реальный перерыв в обслуживании или лаг выставления счетов при переходе на новую услугу?;2026-09-01
330;330;Кварц Медиа;Мониторинг СМИ;12;2;2024-11-01;2025-10-01;2025-02-01;отвал;;ИЗМЕНЕНО (новая строка);Новая строка: в исходном отчёте ноябрь 2024 - февраль 2025 были ошибочно объединены с январём-декабрём 2024 в один 12-месячный флайт под Мониторинг СМИ. По факту это отдельный флайт: первая реальная отгрузка по новой услуге — ноябрь 2024 (после 4-месячной паузы, см. флайт 1). Флайт прерван на 4-м из 12 месяцев (последняя отгрузка февраль 2025), меток стоп/end нет — статус 'отвал' по аналогии с клиентом 321. См. также открытый вопрос про природу паузы июль-октябрь 2024.;2026-09-01
331;331;Титан Строй;Мониторинг СМИ;12;1;2024-01-01;2024-12-01;2024-06-01;смена услуги;пролонгировано;СПОРНО;service_changes.csv: услуга 331 сменилась Мониторинг СМИ -> Управление репутацией с 2024-07-01. До этой даты действовал 12-месячный флайт Мониторинг СМИ (не 6-месячный УР, как в исходном отчёте — та же ошибка 'текущий service_type применён ко всей истории', что и у 330). Смена произошла на 6-м из 12 месяцев — флайт прерван переходом на другую услугу, а не завершением контракта. Стандартные статусы (пролонгировано/непролонгировано/отвал) сюда не подходят, введён отдельный статус 'смена услуги'. Вопрос заказчику: как трактовать такие мид-флайт переходы на другую услугу в отчёте об оттоке — как нейтральное событие (клиент остался) или как незавершённый флайт по старой услуге?;2026-09-01
331;331;Титан Строй;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;непролонгировано;OK;Эта часть истории уже была верно посчитана в исходном отчёте (правильный service_type/term для периода после смены услуги).;2026-09-01
340;340;Сигма Групп;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;отвал;СПОРНО;В works.csv за май 2024 нулевая сумма с меткой 'стоп', но в июне отгрузки возобновились (310000 руб.) и продолжались без перерыва по сентябрь. Трактую это как временный сбой/приостановку, а не окончательный уход, поэтому не считаю флайт январь-июнь прерванным отвалом — он логически продлился в июль без разрыва. Это самое спорное решение всего аудита: возможна и обратная трактовка (майский СТОП = начало отвала, июньское возобновление = новый клиент/новый флайт). Вопрос заказчику: что означала майская метка 'стоп' операционно?;2026-09-01
340;340;Сигма Групп;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;отвал;непролонгировано (flight_no ошибочно =1);ИЗМЕНЕНО;Исправлены: (1) flight_no — в исходном отчёте у обоих флайтов клиента стояло '1'; (2) flight_start — было 2024-06-01, что совпадало с концом первого флайта и задваивало июнь сразу в двух флайтах; корректная дата начала — 2024-07-01. Статус 'отвал': последняя отгрузка сентябрь 2024, флайт должен был идти по декабрь, меток стоп/end нет, но отгрузки прекращаются резко и окончательно (тишина больше года).;2026-09-01
350;350;Орион Диджитал;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;пролонгировано;неизвестно;ИЗМЕНЕНО;Отчёт сформирован 2025-09-01 — ровно на границе окончания флайта, поэтому статус 'неизвестно' был обоснован на тот момент. В works.csv (более свежие данные) отгрузки по проекту 350 продолжаются и после августа 2025 (сентябрь 2025 - январь 2026) — клиент продлился. Отчёт был просто не пересчитан по актуальным данным.;2026-09-01
350;350;Орион Диджитал;Управление репутацией;6;2;2025-09-01;2026-02-01;2026-01-01;неизвестно;;ИЗМЕНЕНО (новая строка);Новый (второй) флайт по проекту 350, отсутствовавший в исходном отчёте. На дату среза works.csv (последняя отгрузка январь 2026) флайт ещё не завершён (не хватает данных за февраль 2026) — статус 'неизвестно' корректен именно для этого флайта.;2026-09-01
351;351;Пульс Медиа;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;непролонгировано;неизвестно;СПОРНО;Как и у 350, статус 'неизвестно' был обоснован на дату генерации отчёта (2025-09-01), но с тех пор не пересчитывался. В works.csv нет ни одной отгрузки по 351 после августа 2025, при этом по другим клиентам (например, 350) данные за этот период есть — то есть общая выгрузка не обрывается на августе 2025. Похоже на непродление. Полной уверенности нет: неизвестна точная дата актуальности (среза) works.csv. Вопрос заказчику: подтвердить дату среза works.csv и что по 351 действительно не было отгрузок после августа 2025.;2026-09-01
